rank,name,winner,points,% prediction accuracy
1.0,Domenic domvar22,Italy,179,71.6
2.0,Anirudh imtiredrobbie,Italy,177,70.8
2.0,Wairi wombatizmailov,Italy,177,70.8
4.0,Anirudh AnirudhShenoy_,England,151,60.4
5.0,Ahmed UTDTruth,England,149,59.6
6.0,Omid Alfabigbang,England,145,58.0
7.0,Jamie kirkwithane,Italy,117,46.8
8.0,Rithwik rithwikrajendra,Italy,115,46.0
9.0,Anant anantm14,Italy,113,45.2
9.0,Fabiola fabiola_cejku,Italy,113,45.2
9.0,Rahul RahulIyer32,Italy,113,45.2
12.0,Nandy nandy_sd,Italy,111,44.4
13.0,Gail ,Italy,103,41.2
14.0,Divine dxvin3,Italy,99,39.6
15.0,José Fernando barelylegalx,England,95,38.0
16.0,Bradley cafcbrad,France,91,36.4
16.0,Yuwan U1sid,Belgium,91,36.4
18.0,Aaron amonizfootball,France,89,35.6
18.0,Sam GoalAnalysis,Spain,89,35.6
20.0,Max  MTaylor1_,England,87,34.8
21.0,Matt trevillion_,France,85,34.0
21.0,Mohit mohit2690,France,85,34.0
23.0,Kevin S ,England,83,33.2
23.0,Regan regan_sg,England,83,33.2
23.0,Vagelis vagelismufc,France,83,33.2
26.0,Bryce brycefrentz,France,81,32.4
26.0,Harsh ftblhk,England,81,32.4
26.0,Joth pompeystats,Portugal,81,32.4
26.0,Patrick Caskie CaskiePatrick,France,81,32.4
26.0,Rory  RoryyWatkinss,France,81,32.4
31.0,Danny D_C_L_07,France,80,32.0
31.0,Gunasekaran gunasek_,France,80,32.0
33.0,Francesco ItalianHawker,England,79,31.6
33.0,Josh jammin__josh,France,79,31.6
33.0,Rohit Rao rohit4_,England,79,31.6
33.0,Taylor trillanocap,France,79,31.6
37.0,Aditya futbol_noob,France,77,30.8
37.0,Elizabeth xlizabetho,France,77,30.8
37.0,Griffith Nipah breezy_Xcoba,England,77,30.8
37.0,Jenish jenish2147,England,77,30.8
37.0,Keerthi keerthikrlshna,France,77,30.8
37.0,Luke GriffinFtbl,England,77,30.8
37.0,Maram maramperninety,England,77,30.8
37.0,Matthew Woodburn thedoormattt,France,77,30.8
37.0,Neil nragavan3011,Belgium,77,30.8
37.0,Oliver oliver_how,England,77,30.8
37.0,Pierre pierrecheval_,France,77,30.8
48.0,Mahadevan PendelEffekt,France,75,30.0
48.0,RRB downtownfunk0,France,75,30.0
48.0,Suwaid doobdibdab,Germany,75,30.0
51.0,Aniket Aniket_Thorat_,England,73,29.2
51.0,Ben BenMUFC__,France,73,29.2
51.0,Kamalesh sonus2002,England,73,29.2
51.0,Rajat rajats97,France,73,29.2
51.0,Shan ksezzxot,Belgium,73,29.2
56.0,Adam MillarHistory,England,71,28.4
56.0,Amalesh  GanchuSankar10,England,71,28.4
56.0,Conor conohm,France,71,28.4
56.0,Easaa EasaaManiyar,England,71,28.4
56.0,Hassan comredhf,Portugal,71,28.4
56.0,Leticia ,England,71,28.4
56.0,Naima neymiana,France,71,28.4
56.0,Sushant Kaw TooKawsome,France,71,28.4
56.0,Uche UcheOkolo99,France,71,28.4
56.0,Varun varunakaash,England,71,28.4
66.0,Joe JMFball,France,69,27.6
66.0,Jose jnavarro129,Croatia,69,27.6
66.0,Kevin byrnesupremacy,France,69,27.6
66.0,Rahul rahulw_,France,69,27.6
66.0,Rohan rohanbardhan12,France,69,27.6
66.0,Yima theiratebandit,France,69,27.6
66.0,chunhang chunhang7,France,69,27.6
73.0,Karthik Karthiksanthos7,France,67,26.8
73.0,Manuhe ManuheF,Germany,67,26.8
73.0,Naveenan opinutd,France,67,26.8
76.0,Brandon bwarner514,France,65,26.0
76.0,CJ CJ_9150,France,65,26.0
76.0,Lester ,Germany,65,26.0
79.0,CC fujisaas,Portugal,63,25.2
79.0,Harman harman_ivivi,France,63,25.2
79.0,Matt Peasey_,Portugal,63,25.2
79.0,Sameer SevenSameerai,Belgium,63,25.2
79.0,Tony ,Germany,63,25.2
84.0,Ajay Srivathsa G AjayG_04,France,61,24.4
84.0,Enrique egudino20,Germany,61,24.4
84.0,George gkysaad,England,61,24.4
84.0,Kate fedginator,France,61,24.4
84.0,Vishnu Anandraj vishnua711,Portugal,61,24.4
89.0,Alex alexfrco,France,59,23.6
89.0,Archie ,Portugal,59,23.6
89.0,Boris Klupa56,France,59,23.6
89.0,Conrad thedarkconrises,France,59,23.6
89.0,HG HGenemo,France,59,23.6
89.0,Matt MattTorez,Ukraine,59,23.6
89.0,Yusuf inside7__,France,59,23.6
96.0,David davidlilian18,France,57,22.8
96.0,Felix lgopfelix,France,57,22.8
96.0,Jack JJJashby,Portugal,57,22.8
96.0,PARITOSH parito_0,Spain,57,22.8
96.0,Quang Duc shaWshank_15,Portugal,57,22.8
96.0,Yashodhan yashnakhare,France,57,22.8
102.0,AR crmsnn,Belgium,55,22.0
102.0,Jake JakeFarr12,Portugal,55,22.0
102.0,Mo Vicinitytt,Germany,55,22.0
102.0,Ninad NinadB_06,France,55,22.0
102.0,Orlando 0rland1nho,France,55,22.0
102.0,Shriram ShriramBhosal11,Spain,55,22.0
102.0,Thano ToTal_ftbl,France,55,22.0
102.0,rob robmolou,France,55,22.0
110.0,Alex alextowells,France,53,21.2
110.0,Joel joelbailey_,France,53,21.2
110.0,Kevin ,France,53,21.2
110.0,Mossy Hehir mossy_1998,Germany,53,21.2
110.0,Pavan thehopelesskiid,France,53,21.2
110.0,Snehnagsu _snehangsu,Belgium,53,21.2
110.0,Yash YASHsh,France,53,21.2
117.0,Andrew andrewyguo,Belgium,51,20.4
117.0,Arsh igodeep69,Portugal,51,20.4
117.0,Caleb _ca10k,Portugal,51,20.4
117.0,Chris chrisdesousa16,Portugal,51,20.4
117.0,David Ayovelli,France,51,20.4
117.0,Harsh Mishra simplywink,Germany,51,20.4
117.0,Karan KPadgaonkar,France,51,20.4
117.0,Matt mattcres,France,51,20.4
117.0,Mieszko AustriackaPilka,France,51,20.4
117.0,PC PC_TalksFooty,Belgium,51,20.4
117.0,Vishakh VishC24,France,51,20.4
128.0,Alfred CallmeAlfredo,France,49,19.6
128.0,Amaar Khankilla1,France,49,19.6
128.0,Arun ManUtdSZN,Belgium,49,19.6
128.0,David ayeayeronu,Germany,49,19.6
